Num Producers,Num Consumers,Total Items Consumed,Average Turnaround Time
1,1,13,6.0769
1,2,14,0.2144
1,4,14,0.2858
1,16,16,0.0002
2,1,11,10.2731
2,2,24,0.6252
2,4,30,0.0002
2,16,29,0.0002
4,1,13,10.0011
4,2,26,5.77
4,4,55,1.7637
4,16,60,0.0003
16,1,15,13.3348
16,2,30,11.0015
16,4,56,7.2151
16,16,214,0.2527
